Time,rpm1,rpm2,rpm3,rpm4,Thrust1,Thrust2,Thrust3,Thrust4,Thrust_total,Loadcell_Fx,Loadcell_Fy,Loadcell_Fz
0.08620000000000042,10573.370048812492,10573.370048812492,10573.370048812492,10573.370048812492,0.02206767630819707,0.02206767630819707,0.02206767630819707,0.02206767630819707,0.08827070523278828,0.00560871822630556,0.0025425580740640287,6.884763105745741
0.08820000000000047,10794.010448635876,10794.010448635876,10794.010448635876,10794.010448635876,0.022998282763166546,0.022998282763166546,0.022998282763166546,0.022998282763166546,0.09199313105266618,0.005848339578602631,0.002781489936438045,6.887320476779735
0.09020000000000053,11012.946349081283,11012.946349081283,11012.946349081283,11012.946349081283,0.023940696886423463,0.023940696886423463,0.023940696886423463,0.023940696886423463,0.09576278754569385,0.006091082332643691,0.002977938223758162,6.889911339451968
0.09220000000000059,11230.143177632048,11230.143177632048,11230.143177632048,11230.143177632048,0.0248943234290084,0.0248943234290084,0.0248943234290084,0.0248943234290084,0.0995772937160336,0.00633739013312706,0.0031897226625720587,6.8925340668173005
0.09420000000000064,11445.566636391111,11445.566636391111,11445.566636391111,11445.566636391111,0.02585856005995762,0.02585856005995762,0.02585856005995762,0.02585856005995762,0.10343424023983049,0.006587187493906868,0.0034176720027378252,6.895187052378453
0.0962000000000007,11659.182707497073,11659.182707497073,11659.182707497073,11659.182707497073,0.026832797746748134,0.026832797746748134,0.026832797746748134,0.026832797746748134,0.10733119098699254,0.006840403090464292,0.003662637043685917,6.897868668908089
0.09820000000000076,11870.95765849599,11870.95765849599,11870.95765849599,11870.95765849599,0.027816421139975775,0.027816421139975775,0.027816421139975775,0.027816421139975775,0.1112656845599031,0.007096970172435997,0.003925489918856801,6.900577269128071
0.10020000000000082,12080.858047668118,12080.858047668118,12080.858047668118,12080.858047668118,0.028808808962022918,0.028808808962022918,0.028808808962022918,0.028808808962022918,0.11523523584809167,0.007356826986925215,0.0042071232848290025,6.903311186381259
0.10220000000000087,12288.850729308771,12288.850729308771,12288.850729308771,12288.850729308771,0.029809334399470967,0.029809334399470967,0.029809334399470967,0.029809334399470967,0.11923733759788387,0.007619917212475593,0.004508449413205128,6.9060687352957775
0.10420000000000093,12494.90285896239,12494.90285896239,12494.90285896239,12494.90285896239,0.030817365499008955,0.030817365499008955,0.030817365499008955,0.030817365499008955,0.12326946199603582,0.007886190403565379,0.004830399183517988,6.90884821244179
0.10620000000000099,12698.981898609072,12698.981898609072,12698.981898609072,12698.981898609072,0.03183226556658887,0.03183226556658887,0.03183226556658887,0.03183226556658887,0.12732906226635549,0.008155602445445286,0.00517392097566156,6.911647896981066
0.10820000000000105,12901.05562180269,12901.05562180269,12901.05562180269,12901.05562180269,0.032853393569575284,0.032853393569575284,0.032853393569575284,0.032853393569575284,0.13141357427830114,0.008428116019104306,0.005539979460582723,6.914466051309733
